iter	RMSE
0	0.5804497433
1	0.5792262425
2	0.5784198093
3	0.5778236565
4	0.5773768258
5	0.5762370263
6	0.5756283618
7	0.5751265941
8	0.5744942623
9	0.5741224346
10	0.5734388964
11	0.5729753824
12	0.5725058741
13	0.5721996786
14	0.5718527861
15	0.5711822312
16	0.5706213945
17	0.570203318
18	0.5698463902
19	0.5695288393
20	0.569214249
21	0.5687251051
22	0.5682387589
23	0.5678293092
24	0.5673214784
25	0.5667461221
26	0.5664412917
27	0.5661448564
28	0.5658479884
29	0.565581332
30	0.5651121169
31	0.5644315151
32	0.5642295439
33	0.5640526359
34	0.5635310562
35	0.5632197093
36	0.563036088
37	0.562695108
38	0.5622668345
39	0.5619213788
40	0.5613919226
41	0.5609326018
42	0.5605895729
43	0.5601282975
44	0.5599254629
45	0.5596405142
46	0.5592134746
47	0.5585415715
48	0.5580739468
49	0.5576697315
50	0.5573832828
51	0.5571579998
52	0.5567718631
53	0.5563435898
54	0.555942937
55	0.5556507436
56	0.5553946552
57	0.5551719418
58	0.5549836911
59	0.5547638395
60	0.5545187192
61	0.5543597149
62	0.5540297711
63	0.5538168129
64	0.5536089479
65	0.553191905
66	0.5529949696
67	0.5528476866
68	0.5525347129
69	0.552294917
70	0.552014166
71	0.5518812794
72	0.5516365128
73	0.5514535873
74	0.5512358677
75	0.5509379761
76	0.5506455086
77	0.550466359
78	0.5501351451
79	0.5499858331
80	0.5496982484
81	0.5492864835
82	0.5491462004
83	0.548893522
84	0.5486328547
85	0.5484477174
86	0.5484002842
87	0.5481658399
88	0.5478220215
89	0.5474893866
90	0.5474893507
91	0.5472719719
92	0.5470884417
93	0.5467110321
94	0.5464048687
95	0.546206373
96	0.5460570374
97	0.5455965839
98	0.5454753469
99	0.5453318592
100	0.5452093807
101	0.5450678314
102	0.5448873307
103	0.5447014778
104	0.5445709173
105	0.5442960646
106	0.5439016242
107	0.5437857501
108	0.5434899441
109	0.5431492146
110	0.5430201569
111	0.5428137148
112	0.5426657554
113	0.5423392917
114	0.5421857911
115	0.5419919383
116	0.5418559163
117	0.5415120971
118	0.541361399
119	0.5411116191
120	0.5409226319
121	0.5405984863
122	0.5402601005
123	0.5401107493
124	0.5399295293
125	0.5396730474
126	0.5394544341
127	0.539187023
128	0.5387343984
129	0.538347733
130	0.5382475398
131	0.538114878
132	0.5378502648
133	0.5376109407
134	0.5373963196
135	0.5372475532
136	0.5368420072
137	0.5366612409
138	0.5363344868
139	0.5361582756
140	0.5360271668
141	0.5358315557
142	0.5354617031
143	0.5352479661
144	0.5349776616
145	0.5346591498
146	0.5344898419
147	0.534091934
148	0.533948573
149	0.5337872018
150	0.5336036704
151	0.5334468661
152	0.532975809
153	0.5327806199
154	0.5325011738
155	0.5321692943
156	0.5319181514
157	0.5316312871
158	0.5314322775
159	0.5312733536
160	0.5311877212
161	0.5309825783
162	0.5307373436
163	0.5306095908
164	0.5303781506
165	0.5302253053
166	0.5299987806
167	0.5297502511
168	0.5295103501
169	0.5292370669
170	0.5289680031
171	0.5288096606
172	0.5285466883
173	0.5282918625
174	0.5281317283
175	0.5280526401
176	0.5278829385
177	0.5276198929
178	0.5274441913
179	0.5273141663
180	0.527101593
181	0.5269196568
182	0.5266708764
183	0.5262955069
184	0.5261595301
185	0.5260365171
186	0.5258667258
187	0.5256847496
188	0.5253952172
189	0.5250650682
190	0.5249072166
191	0.5246482718
192	0.5243358589
193	0.5241373216
194	0.5238909269
195	0.5236505098
196	0.5232653568
197	0.5230321076
198	0.522886951
199	0.5227727513
200	0.5225361779
201	0.5222574866
202	0.5220859344
203	0.5217771585
204	0.5214899432
205	0.5213443782
206	0.5211750627
207	0.5210122431
208	0.5207866353
209	0.5206700006
210	0.5203315776
211	0.5200443269
212	0.5198383808
213	0.5196263608
214	0.5195224381
215	0.5193092447
216	0.5191894569
217	0.5189289714
218	0.5187239274
219	0.5186136279
220	0.5185440461
221	0.5183462623
222	0.5180484394
223	0.5178085566
224	0.5177059209
225	0.5174542155
226	0.5172583846
227	0.5169558713
228	0.5168021815
229	0.5167249646
230	0.5164688511
231	0.5162870702
232	0.516190567
233	0.516091097
234	0.5159496998
235	0.5158259611
236	0.5157005548
237	0.5154631056
238	0.51532874
239	0.5151699145
240	0.5149614578
241	0.5145795353
242	0.5143375854
243	0.5140896679
244	0.5139160073
245	0.5135975938
246	0.5132643034
247	0.5131542548
248	0.5129182431
249	0.512744481
250	0.5126610075
251	0.5125129383
252	0.5124149414
253	0.5123518503
254	0.5120186565
255	0.5119625799
256	0.5116602252
257	0.5113252268
258	0.511014335
259	0.5106234219
260	0.5105035172
261	0.5102580495
262	0.5100987853
263	0.5097224371
264	0.509469986
265	0.5094031986
266	0.5090044813
267	0.5088494026
268	0.5086916043
269	0.5084626434
270	0.5083209429
271	0.5082509715
272	0.5079730965
273	0.5078762782
274	0.5078038627
275	0.5077460795
276	0.5076190596
