nama,1,2,3,ipk
Taruna-942,3.44,3.24,3.22,3.22
Taruna-343,2.71,3.78,3.69,3.69
Taruna-601,3.15,3.46,2.79,2.79
Taruna-189,3.72,3.41,3.13,3.13
Taruna-529,2.99,3.46,2.85,2.85
Taruna-649,2.85,3.91,3.63,3.63
Taruna-310,3.86,2.83,3.6,3.6
Taruna-388,2.8,2.97,3.61,3.61
Taruna-747,2.97,3.9,3.46,3.46
Taruna-762,3.38,2.84,2.76,2.76
Taruna-812,2.84,3.0,3.98,3.98
Taruna-271,2.96,3.3,3.83,3.83
Taruna-833,3.97,3.4,2.72,2.72
Taruna-512,3.33,3.01,2.75,2.75
Taruna-924,2.54,2.55,3.54,3.54
Taruna-349,2.8,3.47,2.76,2.76
Taruna-437,3.08,3.17,3.25,3.25
Taruna-246,3.09,3.37,3.31,3.31
Taruna-858,3.45,3.38,2.99,2.99
