nama,1,2,3,ipk
Taruna-564,2.61,2.85,3.21,3.21
Taruna-362,3.0,3.63,3.75,3.75
Taruna-566,3.01,2.53,2.61,2.61
Taruna-681,3.06,2.66,3.49,3.49
Taruna-168,3.58,3.18,3.87,3.87
Taruna-146,3.42,3.31,3.34,3.34
Taruna-833,2.64,3.82,3.56,3.56
Taruna-517,3.66,3.2,3.96,3.96
Taruna-308,2.78,3.19,3.51,3.51
Taruna-504,3.12,3.82,2.89,2.89
Taruna-136,3.9,3.74,3.88,3.88
Taruna-673,3.87,3.13,3.8,3.8
Taruna-900,3.9,3.68,2.55,2.55
Taruna-906,2.81,2.74,2.93,2.93
Taruna-713,3.32,3.26,2.76,2.76
Taruna-795,3.65,3.21,3.19,3.19
Taruna-299,3.31,3.36,3.97,3.97
Taruna-893,3.28,3.42,3.47,3.47
Taruna-516,2.72,3.66,3.63,3.63
Taruna-711,2.9,3.86,3.8,3.8
