nama,1,2,3,ipk
Taruna-518,3.21,2.54,3.33,3.33
Taruna-582,3.53,3.57,3.06,3.06
Taruna-726,2.98,2.77,3.48,3.48
Taruna-639,3.73,3.01,3.49,3.49
Taruna-325,3.88,3.91,2.87,2.87
Taruna-498,2.52,3.46,3.27,3.27
Taruna-415,2.81,3.4,3.31,3.31
Taruna-459,3.99,3.99,3.9,3.9
Taruna-830,2.55,3.3,2.69,2.69
Taruna-871,2.85,2.51,3.32,3.32
Taruna-936,3.55,3.71,3.69,3.69
Taruna-121,3.09,3.5,3.86,3.86
Taruna-832,3.05,3.51,4.0,4.0
Taruna-720,3.93,2.7,2.74,2.74
Taruna-284,3.79,3.18,3.21,3.21
Taruna-427,3.05,3.9,3.25,3.25
Taruna-114,3.32,3.5,3.36,3.36
Taruna-324,3.9,3.84,3.65,3.65
Taruna-697,3.93,3.37,3.71,3.71
Taruna-610,3.93,2.99,3.0,3.0
