nama,1,2,3,4,5,ipk
Taruna-700,2.8,3.78,2.68,3.44,3.15,3.15
Taruna-138,2.78,3.5,2.74,2.98,2.78,2.78
Taruna-129,2.67,3.48,3.69,2.72,2.82,2.82
Taruna-621,3.58,3.66,3.75,3.97,3.8,3.8
Taruna-672,3.0,3.98,3.69,3.18,2.63,2.63
Taruna-141,3.46,2.61,3.27,3.91,3.17,3.17
Taruna-435,3.52,3.7,2.7,3.33,2.57,2.57
Taruna-706,3.65,3.9,2.98,3.39,2.93,2.93
Taruna-253,3.36,2.56,3.93,3.54,2.84,2.84
Taruna-705,2.75,3.1,3.26,3.16,3.79,3.79
Taruna-438,2.57,2.61,3.97,2.83,3.97,3.97
Taruna-708,3.62,3.28,3.55,3.14,3.99,3.99
Taruna-567,3.63,3.78,3.15,3.22,3.91,3.91
Taruna-384,3.82,3.72,3.55,3.05,2.64,2.64
Taruna-191,3.57,3.79,3.97,2.93,3.81,3.81
Taruna-249,2.94,3.89,2.85,3.01,2.91,2.91
Taruna-387,3.54,3.7,3.9,3.06,2.95,2.95
Taruna-293,3.49,3.16,2.61,3.49,3.24,3.24
Taruna-321,3.46,2.9,3.96,2.68,3.17,3.17
Taruna-698,3.11,3.68,3.79,2.82,3.84,3.84
