nama,1,2,3,4,5,6,7,ipk
Taruna-881,2.65,2.7,2.53,2.87,3.07,3.63,2.59,2.59
Taruna-843,3.17,2.9,3.31,2.84,3.0,2.9,2.66,2.66
Taruna-697,3.26,2.96,2.51,3.87,3.6,3.22,3.54,3.54
Taruna-790,3.51,3.1,3.24,3.87,3.56,3.35,2.69,2.69
Taruna-863,2.92,3.32,3.08,3.11,3.01,3.48,3.99,3.99
Taruna-184,2.57,2.82,2.83,2.93,3.0,2.97,3.15,3.15
Taruna-682,3.39,2.6,3.16,2.84,3.33,3.43,2.61,2.61
Taruna-471,3.11,2.9,3.84,3.15,3.91,2.65,3.96,3.96
Taruna-109,2.84,2.6,3.6,2.88,3.31,2.56,3.52,3.52
Taruna-683,3.2,2.66,3.16,3.96,3.1,3.08,2.67,2.67
Taruna-655,3.14,3.76,3.73,2.78,3.16,3.99,2.53,2.53
Taruna-599,3.84,2.93,3.02,3.64,3.34,3.38,3.52,3.52
Taruna-952,2.51,3.27,2.9,2.97,3.83,2.67,2.6,2.6
Taruna-347,3.95,3.5,3.59,2.83,3.37,3.09,2.78,2.78
Taruna-328,2.98,3.79,2.65,3.14,3.15,2.71,3.64,3.64
Taruna-692,2.96,3.18,3.62,3.43,3.1,2.96,3.74,3.74
Taruna-528,2.78,3.86,3.67,3.99,3.1,3.0,3.22,3.22
Taruna-748,3.9,3.74,3.7,3.17,3.28,3.59,3.63,3.63
Taruna-314,3.87,2.51,2.67,3.07,3.49,3.58,3.06,3.06
Taruna-531,2.64,3.3,3.95,3.71,3.05,3.16,2.56,2.56
