nama,ips-now,ips-next
Taruna-1,3.44,3.69
Taruna-2,3.31,3.89
Taruna-3,3.33,3.68
Taruna-4,3.37,3.56
Taruna-5,3.73,3.69
Taruna-6,3.35,3.74
Taruna-7,3.8,3.88
Taruna-8,3.38,3.59
Taruna-9,3.54,3.55
Taruna-10,3.8,3.53
Taruna-11,3.69,3.79
Taruna-12,3.24,3.5
Taruna-13,3.61,3.83
Taruna-14,3.89,3.53
Taruna-15,3.32,3.72
Taruna-16,3.89,3.53
Taruna-17,3.86,3.94
Taruna-18,3.43,3.85
Taruna-19,3.56,3.67
Taruna-20,3.84,3.74
Taruna-21,3.39,3.98
Taruna-22,3.49,3.94
Taruna-23,3.85,3.54
Taruna-24,3.22,3.62
Taruna-25,3.51,3.59
Taruna-26,3.73,3.9
Taruna-27,3.88,3.8
Taruna-28,3.2,3.99
Taruna-29,3.65,3.9
Taruna-30,3.77,3.75
Taruna-31,3.86,3.72
Taruna-32,3.41,3.8
Taruna-33,3.65,3.57
Taruna-34,4.0,3.95
Taruna-35,3.54,3.8
Taruna-36,3.28,3.94
Taruna-37,3.22,3.77
Taruna-38,3.2,3.78
Taruna-39,3.37,3.98
Taruna-40,3.98,3.61
Taruna-41,3.52,3.66
Taruna-42,3.61,3.83
Taruna-43,3.95,3.91
Taruna-44,3.58,3.56
Taruna-45,3.66,3.97
Taruna-46,3.63,3.89
Taruna-47,3.78,3.9
Taruna-48,3.68,3.57
Taruna-49,3.54,3.92
Taruna-50,3.22,3.99
Taruna-51,3.45,3.76
Taruna-52,3.5,3.7
Taruna-53,3.37,3.63
Taruna-54,3.39,3.52
Taruna-55,3.38,3.69
Taruna-56,3.9,3.7
Taruna-57,3.29,3.87
Taruna-58,3.73,3.6
Taruna-59,3.96,3.6
Taruna-60,3.78,3.7
Taruna-61,3.96,3.98
Taruna-62,3.53,3.88
Taruna-63,3.42,3.87
Taruna-64,3.32,3.81
Taruna-65,3.65,3.52
Taruna-66,3.99,3.64
Taruna-67,3.66,3.79
Taruna-68,3.33,3.97
Taruna-69,3.65,3.64
Taruna-70,3.48,3.85
Taruna-71,3.58,3.73
Taruna-72,3.56,3.69
Taruna-73,3.61,3.68
Taruna-74,3.54,3.55
Taruna-75,3.6,3.97
Taruna-76,3.9,3.9
Taruna-77,3.65,3.66
Taruna-78,3.78,3.66
Taruna-79,3.33,3.77
Taruna-80,3.46,3.7
Taruna-81,3.36,3.62
Taruna-82,3.25,3.85
Taruna-83,3.24,3.58
Taruna-84,3.22,3.57
Taruna-85,3.54,3.65
Taruna-86,3.65,3.95
Taruna-87,3.25,3.77
Taruna-88,3.52,3.89
Taruna-89,3.78,3.51
Taruna-90,3.88,3.9
Taruna-91,3.23,3.65
Taruna-92,3.32,3.78
Taruna-93,3.77,3.92
Taruna-94,3.39,3.91
Taruna-95,3.97,3.81
Taruna-96,3.75,3.9
Taruna-97,3.68,3.59
Taruna-98,3.5,3.91
Taruna-99,3.3,3.53
Taruna-100,3.48,3.91
Taruna-101,3.82,3.79
Taruna-102,3.22,3.79
Taruna-103,3.85,3.65
Taruna-104,3.72,3.69
Taruna-105,3.66,3.51
Taruna-106,3.47,3.72
Taruna-107,3.81,3.93
Taruna-108,3.62,3.92
Taruna-109,3.24,3.55
Taruna-110,3.44,3.62
Taruna-111,3.4,3.72
Taruna-112,3.95,3.99
Taruna-113,3.58,3.69
Taruna-114,3.99,3.62
Taruna-115,3.31,3.8
Taruna-116,3.63,3.6
Taruna-117,3.74,3.5
Taruna-118,3.93,3.95
Taruna-119,3.75,3.88
Taruna-120,3.37,3.72
Taruna-121,3.9,3.92
Taruna-122,3.33,3.67
Taruna-123,3.91,3.74
Taruna-124,3.81,3.95
Taruna-125,3.41,3.67
Taruna-126,3.65,3.81
Taruna-127,3.23,3.91
Taruna-128,3.82,3.7
Taruna-129,3.89,3.6
Taruna-130,3.49,3.7
Taruna-131,3.8,3.85
Taruna-132,3.78,3.55
Taruna-133,3.23,3.64
Taruna-134,3.26,3.57
Taruna-135,3.34,3.79
Taruna-136,3.79,3.79
