nama,1,2,3,ipk
Taruna-129,3.37,2.57,2.71,2.71
Taruna-425,3.95,3.04,3.44,3.44
Taruna-930,3.16,3.34,2.53,2.53
Taruna-501,3.49,3.55,3.79,3.79
Taruna-216,3.99,3.73,3.44,3.44
Taruna-593,2.66,2.82,3.59,3.59
Taruna-649,3.18,3.16,2.96,2.96
Taruna-952,3.11,2.9,2.79,2.79
Taruna-290,3.36,2.86,3.14,3.14
Taruna-276,2.78,2.57,3.18,3.18
Taruna-576,3.84,3.0,3.69,3.69
Taruna-320,3.75,2.66,3.52,3.52
Taruna-586,3.05,3.79,3.53,3.53
Taruna-449,3.54,3.89,3.23,3.23
Taruna-577,2.98,3.82,2.61,2.61
Taruna-309,3.01,3.79,2.54,2.54
Taruna-878,3.29,2.51,3.89,3.89
Taruna-755,2.79,3.93,2.71,2.71
Taruna-427,3.52,3.82,2.95,2.95
Taruna-843,2.97,3.72,2.96,2.96
