nama,1,2,3,ipk
Taruna-614,3.07,3.17,3.34,3.34
Taruna-158,3.92,3.65,2.96,2.96
Taruna-929,2.57,2.93,3.85,3.85
Taruna-531,2.61,3.72,2.66,2.66
Taruna-802,3.05,3.68,3.71,3.71
Taruna-141,3.78,3.3,3.39,3.39
Taruna-719,3.64,3.02,3.5,3.5
Taruna-107,3.92,3.99,2.77,2.77
Taruna-727,3.61,3.75,3.29,3.29
Taruna-298,3.96,3.11,2.92,2.92
Taruna-475,3.38,3.79,3.8,3.8
Taruna-653,3.83,2.85,2.97,2.97
Taruna-159,3.68,3.98,2.64,2.64
Taruna-301,3.12,3.55,3.01,3.01
Taruna-870,3.26,2.98,2.85,2.85
Taruna-430,3.13,2.7,3.54,3.54
Taruna-936,3.93,3.35,3.32,3.32
Taruna-988,3.52,3.29,3.45,3.45
Taruna-754,3.14,3.61,3.65,3.65
Taruna-561,2.87,3.88,2.62,2.62
