nama,1,2,3,4,5,ipk
Taruna-829,2.86,3.22,3.76,3.12,3.77,3.77
Taruna-579,3.99,2.56,2.84,3.2,3.84,3.84
Taruna-836,2.63,3.58,3.67,2.91,3.18,3.18
Taruna-216,3.68,2.65,3.08,3.27,2.71,2.71
Taruna-924,2.94,3.89,2.6,2.81,2.78,2.78
Taruna-980,3.32,3.29,2.61,3.53,3.69,3.69
Taruna-919,3.64,3.11,2.85,3.5,2.99,2.99
Taruna-557,3.34,3.18,3.5,2.55,3.91,3.91
Taruna-287,3.88,2.92,2.51,3.67,3.79,3.79
Taruna-557,3.57,3.94,3.61,3.76,2.86,2.86
Taruna-984,3.31,3.03,2.76,2.96,3.71,3.71
Taruna-695,3.19,3.53,2.64,3.91,3.52,3.52
Taruna-521,3.45,3.28,3.91,3.52,3.97,3.97
Taruna-612,3.72,3.03,3.05,3.63,3.18,3.18
Taruna-149,2.76,2.56,3.01,3.21,3.49,3.49
Taruna-368,3.97,3.93,2.65,3.76,2.63,2.63
Taruna-390,3.33,3.33,3.58,3.93,2.68,2.68
Taruna-454,3.97,3.8,2.99,3.92,3.95,3.95
Taruna-699,2.87,2.74,2.97,3.3,3.58,3.58
Taruna-585,3.09,2.5,3.72,3.69,3.19,3.19
