nama,1,2,3,4,5,ipk
Taruna-302,3.92,3.85,2.78,3.07,2.93,2.93
Taruna-650,2.59,3.02,3.73,3.6,3.62,3.62
Taruna-435,3.84,2.72,3.29,3.59,2.79,2.79
Taruna-790,3.51,3.07,3.91,3.0,3.1,3.1
Taruna-611,3.64,3.01,3.75,3.24,3.17,3.17
Taruna-429,3.52,3.49,3.6,3.09,3.72,3.72
Taruna-396,3.01,2.64,2.64,2.86,3.44,3.44
Taruna-579,3.22,3.48,3.58,3.26,2.55,2.55
Taruna-858,2.82,3.79,3.15,3.44,3.44,3.44
Taruna-609,3.87,3.11,3.98,2.66,2.6,2.6
Taruna-892,3.9,2.51,3.95,3.93,3.98,3.98
Taruna-257,3.6,3.85,3.96,3.69,3.36,3.36
Taruna-566,3.26,3.85,3.35,3.67,2.55,2.55
Taruna-558,2.87,3.06,2.69,3.11,3.32,3.32
Taruna-937,2.83,3.81,2.51,3.11,3.22,3.22
Taruna-664,3.81,3.8,3.5,3.09,2.97,2.97
Taruna-965,3.33,3.6,3.9,3.1,3.99,3.99
Taruna-241,2.82,2.51,3.56,3.35,3.57,3.57
Taruna-707,2.62,3.92,3.04,3.99,3.38,3.38
Taruna-726,3.24,2.88,3.32,3.87,3.66,3.66
