nama,1,2,3,4,5,ipk
Taruna-694,2.86,3.29,3.02,3.68,3.46,3.46
Taruna-229,2.51,3.44,3.25,3.93,3.06,3.06
Taruna-898,3.62,2.61,3.59,3.53,3.97,3.97
Taruna-108,2.54,3.5,2.59,3.86,3.11,3.11
Taruna-990,2.72,2.54,3.26,3.52,3.68,3.68
Taruna-212,2.79,3.66,2.96,2.84,3.14,3.14
Taruna-873,2.96,3.12,3.59,3.06,3.67,3.67
Taruna-608,3.75,2.67,3.26,3.32,2.55,2.55
Taruna-746,3.96,2.65,3.08,3.17,3.48,3.48
Taruna-619,3.49,3.49,2.68,2.54,2.63,2.63
Taruna-453,3.26,2.66,2.5,3.26,2.58,2.58
Taruna-663,2.68,3.05,3.26,2.89,2.65,2.65
Taruna-438,3.48,2.72,3.14,3.3,3.73,3.73
Taruna-346,3.06,3.79,3.55,3.27,3.39,3.39
Taruna-657,3.84,2.81,2.52,3.4,2.82,2.82
Taruna-770,3.01,3.51,3.86,3.02,2.61,2.61
Taruna-845,3.4,3.4,2.56,2.6,3.74,3.74
Taruna-452,2.81,3.28,3.96,3.74,3.38,3.38
Taruna-956,2.77,3.44,3.4,3.54,3.02,3.02
Taruna-134,3.29,2.71,2.8,3.11,2.85,2.85
