nama,1,2,3,4,5,ipk
Taruna-537,2.72,3.6,2.72,3.55,2.75,2.75
Taruna-524,2.98,2.67,2.78,3.5,3.26,3.26
Taruna-425,3.54,2.5,3.42,3.06,3.58,3.58
Taruna-585,3.29,3.33,2.94,3.53,2.56,2.56
Taruna-789,2.72,3.94,3.24,3.12,2.89,2.89
Taruna-902,3.78,2.75,2.56,3.0,3.54,3.54
Taruna-338,2.64,3.96,2.62,2.9,3.86,3.86
Taruna-839,2.59,3.87,2.9,3.56,3.75,3.75
Taruna-246,3.21,3.0,3.49,2.51,3.07,3.07
Taruna-745,3.82,2.66,3.82,3.3,2.53,2.53
Taruna-152,2.95,3.19,3.32,2.74,3.47,3.47
Taruna-202,2.92,3.24,2.87,3.6,2.51,2.51
Taruna-781,2.56,3.88,2.58,3.89,3.44,3.44
Taruna-321,3.3,3.94,2.8,3.6,2.95,2.95
Taruna-377,3.83,3.5,3.65,3.38,3.34,3.34
Taruna-887,3.58,3.6,3.16,3.42,3.7,3.7
Taruna-764,3.81,2.7,2.62,2.77,3.08,3.08
Taruna-163,3.33,2.68,2.73,3.19,3.15,3.15
Taruna-965,3.58,3.76,3.88,3.7,2.85,2.85
