nama,1,2,3,4,5,6,7,ipk
Taruna-142,2.77,3.38,3.73,3.37,2.52,2.7,2.71,2.71
Taruna-161,3.4,2.55,2.86,3.6,2.92,3.35,3.33,3.33
Taruna-763,3.17,3.17,3.52,3.63,2.6,2.67,3.07,3.07
Taruna-557,3.35,2.57,2.78,3.42,3.68,3.83,3.35,3.35
Taruna-734,3.7,2.73,2.77,2.68,3.48,3.48,2.98,2.98
Taruna-978,3.88,2.72,2.78,3.47,2.56,3.74,3.17,3.17
Taruna-462,3.4,2.8,3.55,2.56,2.7,3.7,2.57,2.57
Taruna-522,2.54,3.49,3.14,3.12,3.34,2.8,3.15,3.15
Taruna-288,2.88,3.51,3.97,3.31,3.9,2.59,3.92,3.92
Taruna-276,3.88,3.55,3.19,4.0,3.07,3.5,3.79,3.79
Taruna-189,3.41,3.09,3.86,3.56,3.35,3.29,3.43,3.43
Taruna-280,3.66,3.82,3.22,3.54,3.92,2.62,3.56,3.56
Taruna-910,2.72,3.3,3.44,3.37,3.6,2.55,2.74,2.74
Taruna-648,2.86,3.2,2.7,3.98,3.2,3.2,3.83,3.83
Taruna-355,2.7,3.27,3.29,2.98,3.44,2.71,3.45,3.45
Taruna-352,3.15,3.76,3.73,2.57,3.56,3.12,2.54,2.54
Taruna-217,3.7,3.54,2.91,3.17,3.31,3.24,3.8,3.8
Taruna-831,3.56,3.64,2.56,3.96,3.71,3.53,3.6,3.6
Taruna-198,2.93,3.23,3.47,2.64,3.34,3.74,2.92,2.92
Taruna-972,3.75,3.75,2.98,2.65,2.58,3.48,3.68,3.68
