nama,1,2,3,4,5,6,7,ipk
Taruna-330,3.01,3.86,3.97,2.85,2.95,2.66,3.12,3.12
Taruna-436,3.63,3.89,3.07,3.82,2.56,2.96,2.82,2.82
Taruna-594,3.92,3.84,2.82,3.07,3.13,3.91,3.51,3.51
Taruna-194,2.91,3.64,3.3,2.97,2.64,2.92,2.7,2.7
Taruna-603,3.35,3.02,3.0,2.77,3.04,2.97,2.69,2.69
Taruna-313,3.57,3.07,2.96,2.98,3.03,2.82,3.79,3.79
Taruna-375,3.98,2.64,3.62,3.59,3.76,3.96,3.0,3.0
Taruna-834,3.26,2.5,3.11,3.38,3.55,2.55,3.57,3.57
Taruna-931,3.63,2.59,2.94,3.21,2.56,3.49,3.77,3.77
Taruna-557,3.5,3.27,3.54,3.92,3.24,2.5,2.97,2.97
Taruna-604,3.43,3.49,2.53,3.02,3.73,3.07,2.71,2.71
Taruna-489,2.58,2.95,3.61,3.56,3.16,3.41,2.78,2.78
Taruna-844,2.83,3.38,3.15,2.86,3.69,3.6,2.65,2.65
Taruna-273,2.98,3.83,3.51,3.41,3.34,3.93,3.7,3.7
Taruna-749,3.97,3.86,3.74,3.12,2.61,2.57,3.03,3.03
Taruna-428,2.74,3.35,3.55,3.53,3.45,3.72,3.7,3.7
Taruna-713,2.88,3.43,3.95,3.38,3.92,3.86,3.35,3.35
Taruna-658,3.21,2.78,2.51,3.6,3.52,2.77,2.78,2.78
Taruna-102,3.95,3.42,2.82,3.84,3.26,2.96,3.0,3.0
Taruna-886,3.64,3.6,3.46,3.67,2.66,2.89,2.52,2.52
