nama,1,2,3,4,5,6,7,ipk
Taruna-273,2.76,2.92,2.96,3.94,3.99,3.92,3.95,3.95
Taruna-954,2.52,3.93,3.86,3.71,3.17,3.64,2.92,2.92
Taruna-747,2.67,3.21,2.8,2.81,3.83,2.89,3.23,3.23
Taruna-418,3.41,3.62,3.39,3.56,2.86,3.73,3.28,3.28
Taruna-597,3.34,3.12,3.91,2.56,2.77,3.03,3.16,3.16
Taruna-709,3.27,2.68,3.25,3.2,3.21,3.38,3.68,3.68
Taruna-594,3.82,3.16,3.99,3.27,3.06,3.12,3.54,3.54
Taruna-767,3.35,3.36,3.95,3.52,3.54,3.84,2.6,2.6
Taruna-198,2.52,2.72,3.83,3.64,2.77,3.69,2.73,2.73
Taruna-539,2.63,2.91,2.99,3.12,3.71,3.09,3.66,3.66
Taruna-176,3.07,3.21,3.66,3.84,3.47,2.88,3.92,3.92
Taruna-227,2.56,4.0,3.8,3.31,2.94,3.73,3.75,3.75
Taruna-973,2.7,3.21,3.84,2.81,2.53,3.95,3.82,3.82
Taruna-448,3.58,2.92,3.58,3.7,2.86,3.04,2.7,2.7
Taruna-164,3.5,2.84,3.0,3.9,3.22,3.3,2.85,2.85
Taruna-516,3.85,3.96,3.39,2.74,2.92,3.33,2.92,2.92
Taruna-704,2.53,3.96,3.21,2.58,3.02,3.64,3.92,3.92
Taruna-844,3.2,3.61,3.07,3.94,3.36,2.97,3.54,3.54
Taruna-583,3.85,3.54,3.51,2.72,3.8,3.08,2.93,2.93
Taruna-397,3.38,3.57,3.86,2.84,2.67,3.27,3.03,3.03
